Player,player_api_id
Lionel Messi,30981
Cristiano Ronaldo,30893
Xavi,39854
Andrés Iniesta,30955
Samuel Eto'o,33639
Kaká,41044
Zlatan Ibrahimović,35724
Wayne Rooney,30829
Didier Drogba,30822
Steven Gerrard,30618
Fernando Torres,30853
Cesc Fàbregas,30613
Edin Džeko,15403
Ryan Giggs,24154
Thierry Henry,30626
Luís Fabiano,34106
Nemanja Vidić,30865
Iker Casillas,30657
Diego Forlán,38460
Yoann Gourcuff,33744
Andrey Arshavin,3520
Júlio César,30989
Frank Lampard,30631
Maicon,34305
Diego,31235
David Villa,30909
John Terry,30627
Franck Ribéry,30924
Yaya Touré,36615
Karim Benzema,26166
Wesley Sneijder,30878
Xabi Alonso,30889
Carles Puyol,30661
Mesut Özil,36378
Arjen Robben,30834
Thomas Müller,116772
Bastian Schweinsteiger,30872
Asamoah Gyan,41980
Miroslav Klose,30638
Philipp Lahm,30894
Dani Alves,33988
Luis Suárez,40636
Neymar,19533
Sergio Agüero,37412
Eric Abidal,30738
Nani,40945
Gerard Piqué,37482
Radamel Falcao,22543
Andrea Pirlo,30731
Robin van Persie,30843
Gianluigi Buffon,30717
Sergio Ramos,30962
Manuel Neuer,27299
Sergio Busquets,154257
Mario Balotelli,108808
Gareth Bale,31921
Robert Lewandowski,93447
Edinson Cavani,49677
Thiago Silva,80562
Eden Hazard,107417
James Rodríguez,164684
Toni Kroos,95078
Ángel Di María,46509
Diego Costa,19243
Mario Götze,177714
Javier Mascherano,38818
Thibaut Courtois,170323
David Luiz,52133
Paul Pogba,248453
Alexis Sánchez,50047
Arturo Vidal,49939
Kevin De Bruyne,169200
Ivan Rakitić,25773
